Symbol,Strategy,Direction,Exit,Entry Date,Exit Date,Days Held,Entry $,Exit $,PnL $,PnL %
AAPL,NAKED_LONG,BEARISH,TIME,2019-01-02,2019-01-07,5,954.32,1003.89,49.57,5.2
AMD,NAKED_LONG,BEARISH,TIME,2019-01-02,2019-01-07,5,710.93,786.26,75.33,9.0
GDX,NAKED_LONG,BEARISH,TIME,2019-01-03,2019-01-08,5,467.95,456.1,-11.85,-1.4
TSLA,DIAGONAL,BULLISH,TIME,2019-01-02,2019-01-17,15,622.29,685.77,63.48,7.6
AVGO,DIAGONAL,BULLISH,TIME,2019-01-03,2019-01-18,15,523.71,546.49,22.78,2.7
GDX,DIAGONAL,BULLISH,TIME,2019-01-07,2019-01-22,15,463.87,399.07,-64.8,-7.8
QCOM,DIAGONAL,BULLISH,TIME,2019-01-08,2019-01-23,15,1051.38,965.16,-86.22,-8.2
GDX,DIAGONAL,BULLISH,TIME,2019-01-08,2019-01-23,15,461.02,399.25,-61.77,-7.4
GDX,NAKED_LONG,BEARISH,TIME,2019-01-23,2019-01-28,5,783.5,806.6,23.1,2.8
ANET,DIAGONAL,BULLISH,TIME,2019-01-17,2019-02-01,15,698.28,657.54,-40.74,-4.9
TSLA,DIAGONAL,BULLISH,TIME,2019-01-18,2019-02-04,17,691.03,576.17,-114.86,-13.8
GDX,NAKED_LONG,BEARISH,TIME,2019-01-28,2019-02-04,7,807.97,839.73,31.75,3.8
TSLA,DIAGONAL,BULLISH,TIME,2019-01-22,2019-02-06,15,675.32,576.14,-99.18,-11.9
AVGO,DIAGONAL,BULLISH,TIME,2019-01-23,2019-02-07,15,564.2,471.13,-93.07,-11.2
ANET,DIAGONAL,BULLISH,TIME,2019-01-28,2019-02-12,15,674.72,722.32,47.6,5.7
GDX,DIAGONAL,BULLISH,TIME,2019-02-04,2019-02-19,15,442.69,447.17,4.48,0.5
AMZN,CREDIT_SPREAD,BULLISH,TIME,2019-02-04,2019-02-19,15,245.19,179.47,65.72,7.9
AMD,CREDIT_SPREAD,BULLISH,TIME,2019-02-06,2019-02-21,15,364.94,320.33,44.6,5.4
TQQQ,DIAGONAL,BULLISH,TIME,2019-02-07,2019-02-22,15,770.28,744.19,-26.09,-3.1
TQQQ,NAKED_LONG,BULLISH,TIME,2019-02-21,2019-02-26,5,741.08,738.8,-2.28,-0.3
META,CREDIT_SPREAD,BULLISH,TIME,2019-02-12,2019-02-27,15,261.28,194.76,66.52,8.0
AVGO,NAKED_LONG,BULLISH,TIME,2019-02-22,2019-02-27,5,480.38,471.91,-8.46,-1.0
SOXL,NAKED_LONG,BULLISH,TIME,2019-02-27,2019-03-04,5,668.62,647.09,-21.53,-2.6
META,CREDIT_SPREAD,BULLISH,TIME,2019-02-19,2019-03-06,15,256.18,90.49,165.69,19.9
MU,CREDIT_SPREAD,BULLISH,TIME,2019-02-19,2019-03-06,15,347.7,233.22,114.49,13.7
TSLA,NAKED_LONG,BULLISH,TIME,2019-03-04,2019-03-11,7,473.54,482.68,9.14,1.1
SOXL,NAKED_LONG,BULLISH,TIME,2019-03-06,2019-03-11,5,632.22,615.7,-16.51,-2.0
AAPL,NAKED_LONG,BULLISH,TIME,2019-03-06,2019-03-11,5,857.41,881.36,23.95,2.8
QCOM,NAKED_LONG,BEARISH,TIME,2019-03-06,2019-03-11,5,907.11,905.81,-1.3,-0.1
GDX,DIAGONAL,BULLISH,TIME,2019-02-26,2019-03-13,15,448.24,445.79,-2.45,-0.3
AMD,CREDIT_SPREAD,BULLISH,TIME,2019-02-27,2019-03-14,15,349.16,179.49,169.66,20.4
NVDA,NAKED_LONG,BEARISH,TIME,2019-03-11,2019-03-18,7,826.28,875.76,49.48,5.9
AAPL,NAKED_LONG,BEARISH,TIME,2019-03-11,2019-03-18,7,831.08,874.05,42.97,5.2
TQQQ,NAKED_LONG,BEARISH,TIME,2019-03-12,2019-03-18,6,720.41,742.87,22.47,2.7
SOXL,NAKED_LONG,BEARISH,TIME,2019-03-12,2019-03-18,6,659.65,735.14,75.49,9.1
AMD,NAKED_LONG,BULLISH,TIME,2019-03-14,2019-03-19,5,516.4,677.2,160.8,19.3
GOOGL,NAKED_LONG,BULLISH,TIME,2019-03-18,2019-03-25,7,1220.01,1234.95,14.94,1.2
TSLA,NAKED_LONG,BULLISH,TIME,2019-03-18,2019-03-25,7,463.14,444.02,-19.12,-2.3
TQQQ,NAKED_LONG,BEARISH,TIME,2019-03-18,2019-03-25,7,746.27,832.79,86.52,10.4
SHOP,NAKED_LONG,BULLISH,TIME,2019-03-19,2019-03-25,6,444.85,444.33,-0.52,-0.1
TQQQ,NAKED_LONG,BEARISH,TIME,2019-03-19,2019-03-25,6,754.09,833.75,79.66,9.6
CIEN,CREDIT_SPREAD,BULLISH,TIME,2019-03-13,2019-03-28,15,270.1,167.89,102.22,12.3
GDX,NAKED_LONG,BEARISH,TIME,2019-03-25,2019-04-01,7,446.34,424.47,-21.87,-2.6
