ts,nav,spot
2021-01-04,24997.4,309.31
2021-01-05,25088.2354,311.86
2021-01-06,25083.6233,307.54
2021-01-07,25153.5405,314.98
2021-01-08,25210.3879,319.03
2021-01-11,25279.0337,314.42
2021-01-12,25323.0822,313.92
2021-01-13,25304.7547,316.04
2021-01-14,25381.1679,314.35
2021-01-15,25227.6981,311.86
2021-01-19,25450.5888,316.41
2021-01-20,25451.2349,323.77
2021-01-21,25503.0392,326.36
2021-01-22,25365.659,325.42
2021-01-25,25464.1006,328.11
2021-01-26,25326.8672,328.59
2021-01-27,24576.8869,319.43
2021-01-28,24576.8869,321.32
2021-01-29,24576.8869,314.56
2021-02-01,24576.8869,322.42
2021-02-02,24576.8869,327.68
2021-02-03,24576.8869,326.38
2021-02-04,24576.8869,330.24
2021-02-05,24576.8869,331.36
2021-02-08,24576.8869,333.58
2021-02-09,24576.8869,333.51
2021-02-10,24576.8869,332.75
2021-02-11,24576.8869,334.58
2021-02-12,24576.8869,336.45
2021-02-16,24576.8869,335.54
2021-02-17,24576.8869,333.93
2021-02-18,24576.8869,332.47
2021-02-19,24576.8869,331.02
2021-02-22,24576.8869,322.44
2021-02-23,24576.8869,321.48
2021-02-24,24576.8869,324.13
2021-02-25,24580.0129,312.83
2021-02-26,24575.738,314.14
2021-03-01,25036.6324,323.59
2021-03-02,24691.7935,318.4
2021-03-03,23805.0516,309.16
2021-03-04,22977.414,304.1
2021-03-05,23737.3282,308.68
2021-03-08,22186.9379,299.94
2021-03-09,23780.5316,311.77
2021-03-10,23433.1928,310.88
2021-03-11,23973.6734,318.04
2021-03-12,23227.8207,315.46
2021-03-15,23617.805,318.83
2021-03-16,23852.7038,320.58
2021-03-17,23948.6782,321.9
2021-03-18,22842.9602,312.04
2021-03-19,22860.2085,313.14
2021-03-22,23279.5511,318.61
2021-03-23,23368.871,317.22
2021-03-24,22691.8011,311.87
2021-03-25,22251.075,311.33
2021-03-26,22814.815,316.0
2021-03-29,23218.313,315.91
2021-03-30,22858.0257,314.32
2021-03-31,23620.5869,319.13
2021-04-01,24240.5646,324.57
2021-04-05,25084.6265,331.05
2021-04-06,24889.2519,330.82
2021-04-07,25162.2013,331.62
2021-04-08,25647.146,335.08
2021-04-09,25945.6223,337.11
2021-04-12,26001.1412,336.67
2021-04-13,26483.7212,340.6
2021-04-14,26035.5304,336.51
2021-04-15,26702.556,341.61
2021-04-16,26790.7879,342.01
2021-04-19,26470.9009,338.88
2021-04-20,25986.7527,336.41
2021-04-21,26727.9673,339.29
2021-04-22,25859.4384,335.2
2021-04-23,26761.0035,339.42
2021-04-26,27390.9322,341.63
2021-04-27,27105.397,340.15
2021-04-28,26743.5734,339.0
2021-04-29,27138.4188,340.22
2021-04-30,26522.7711,337.99
2021-05-03,26089.9523,336.19
2021-05-04,25050.603,330.14
2021-05-05,24802.8848,329.03
2021-05-06,25136.1439,331.51
2021-05-07,25536.2107,334.2
2021-05-10,24158.8505,325.76
2021-05-11,24534.0235,325.31
2021-05-12,23825.0098,316.89
2021-05-13,23799.0793,319.34
2021-05-14,24048.9735,326.39
2021-05-17,23981.8656,324.41
2021-05-18,23951.0399,322.22
2021-05-19,24276.1929,322.59
2021-05-20,24835.0174,328.83
2021-05-21,24570.4253,327.01
2021-05-24,25096.7574,332.51
2021-05-25,25269.0089,332.97
2021-05-26,25505.6234,334.13
2021-05-27,25360.5337,332.88
2021-05-28,25579.6196,333.93
2021-06-01,25795.5415,332.82
2021-06-02,25909.4456,333.47
2021-06-03,25234.0886,330.0
2021-06-04,26062.9866,335.6
2021-06-07,26280.8486,336.6
2021-06-08,26429.1081,336.76
2021-06-09,26467.6403,336.84
2021-06-10,26929.0024,340.35
2021-06-11,27066.4069,341.24
2021-06-14,27637.2557,344.51
2021-06-15,27358.1224,342.26
2021-06-16,27076.3896,341.01
2021-06-17,27905.5968,345.34
2021-06-18,27401.6223,342.63
2021-06-21,27689.7362,344.36
2021-06-22,28090.3225,347.57
2021-06-23,28155.7187,347.74
2021-06-24,28481.165,349.89
2021-06-25,28418.0799,349.46
2021-06-28,29354.0543,353.71
2021-06-29,29679.1058,354.99
2021-06-30,29569.3876,354.43
2021-07-01,29506.0534,354.57
2021-07-02,30321.6716,358.64
2021-07-06,30779.1001,360.19
2021-07-07,30806.4126,360.95
2021-07-08,30415.8725,358.77
2021-07-09,30760.5237,361.01
2021-07-12,31080.4224,362.42
2021-07-13,31175.6669,362.42
2021-07-14,31233.9605,363.07
2021-07-15,30515.8591,360.52
2021-07-16,29840.4944,357.6
2021-07-19,29882.5929,354.67
2021-07-20,30380.8896,358.79
2021-07-21,30928.8928,361.56
2021-07-22,31338.4137,363.95
2021-07-23,32177.0967,368.2
2021-07-26,32303.916,368.49
2021-07-27,31514.7522,364.43
2021-07-28,31783.8679,365.83
2021-07-29,32031.3697,366.48
2021-07-30,31640.1456,364.57
2021-08-02,31831.2017,364.6
2021-08-03,32177.7359,366.81
2021-08-04,32449.7781,367.34
2021-08-05,32859.2825,369.67
2021-08-06,32459.0511,368.05
2021-08-09,32654.6502,368.73
2021-08-10,32325.6562,366.84
2021-08-11,32256.5728,366.21
2021-08-12,32435.7471,367.53
2021-08-13,32749.4191,368.82
2021-08-16,33096.7823,368.98
2021-08-17,32428.7895,365.73
2021-08-18,31741.7455,362.21
2021-08-19,32057.7339,363.96
2021-08-20,32574.0139,367.73
2021-08-23,33518.3384,373.23
2021-08-24,33731.3009,374.37
